! BERRIES BROCCOLI,"strawberries frozen, blackberries frozen, almorcoc, broccoli frozen, orange juice, raspberries frozen"
! BERRY AND TAHINI SMOOTHIE,"bananas, avocado, dates, cardamom ground, ginger root, tahini, blackberries frozen, almorcoc, raspberries frozen"
! BERRY COCONUT SMOOTHIE,"bananas, strawberries frozen, almorcoc, coconut oil, raspberries frozen, blueberries frozen"
! CHOCOLATE BANANA COFFEE SMOOTHIE,"almorcoc, bananas, coconut shredded, coffee ground"
! CREAMY CHOCOLATE HEMP SMOOTHIE,"almorcoc, dates, hemp seeds, bananas, cinnamon ground"
! CREAMY PLANTAIN GREEN SMOOTHIE,"strawberries frozen, orange juice, plantains, kale"
! EAT YOUR GREENS FRUIT SMOOTHIE,"spinach frozen, bananas, pomegranate juice, almorcoc, blueberries frozen"
! GINGERY MANGO BERRY SMOOTHIE,"mango frozen, strawberries frozen, lime, ginger root, coconut shredded, cayenne pepper, hemp seeds, almorcoc, raspberries frozen"
! GREEN MACHINE SMOOTHIE,"apple, bananas, orange juice, spinach"
! HIDDEN GREENS CHOCOLATE PROTEIN SHAKE,"kale, dates, hemp seeds, bananas, cinnamon ground, avocado, almorcoc"
! HIDE YOUR KALE SMOOTHIE,"bananas, strawberries frozen, hemp seeds, kale, pomegranate juice, blueberries frozen"
! KALE-GINGER DETOX SMOOTHIE,"almorcoc, bananas, ginger root, kale, cinnamon ground, blueberries frozen"
! KIDS MANGO BLEND,"nutritional yeast, coconut water, bananas, mango frozen, strawberries frozen, kale"
! KIDS' PINEAPPLE BLEND,"nutritional yeast, coconut water, pineapple frozen, strawberries frozen, kale, blueberries frozen"
! MY GO-TO SMOOTHIE BOWL,"strawberries frozen, bananas, coconut shredded, chia seeds, hemp seeds, almorcoc, blueberries frozen, raspberries frozen"
! PLUM AND GINGER SMOOTHIE,"plums, bananas, almorcoc, ginger root, dates"
! SPICY MANGO SMOOTHIE,"sweet potatoes, mango frozen, orange, lime, cayenne pepper, hemp seeds"
@ BEET PLUM GINGER SMOOTHIE,"beets, spinach, plums, bananas, ginger root, lime"
@ CARROT GINGER TURMERIC SMOOTHIE,"carrots, bananas, pineapple frozen, ginger root, turmeric ground, lemon, almorcoc"
@ DATE TAHINI AND CARDAMOM SMOOTHIE,"almorcoc, dates, tahini, cardamom ground, bananas"
@ GINGER COLADA GREEN SMOOTHIE,"ginger root, lemon, coconut milk can, pineapple frozen, bananas, kale, almond milk, hemp seeds, spinach frozen"
@ GINGER PLUM SMOOTHIE,"plums, orange juice, ginger root"
@ KIWI SMOOTHIE,"kiwi, bananas, apple, almorcoc"
@ MONK BLEND,"goji berries, turmeric root, ginger root, orange juice, mango frozen, almonds, orange"
@ ORANGE MANGO CARROT,"orange, mango frozen, carrots, almorcoc"
@ PINEAPPLE BLUEBERRY SMOOTHIE,"pineapple frozen, almorcoc, bananas, chia seeds, blueberries frozen"
@ STRAWBERRY BANANA CAULIFLOWER,"strawberries frozen, bananas, cauliflower, almorcoc"
@ STRAWBERRY BANANA GREEN SMOOTHIE,"bananas, strawberries frozen, orange juice, spinach frozen"
@ VEGAN BREAKFAST SMOOTHIE,"almorcoc, bananas, strawberries frozen, mango frozen, pineapple frozen, ginger root, avocado"
% BANANA-DATE SMOOTHIE,"bananas, dates, almorcoc, chia seeds, cardamom ground, lime, cinnamon ground"
% CHOCOLATE HEMP SHAKE,"almorcoc, bananas, dates, hemp seeds, almond butter, cinnamon ground, cacao powder"
% CREAMY PINEAPPLE CUCUMBER SMOOTHIE,"cucumber, pineapple frozen, bananas, almorcoc, lime, spinach frozen"
% DEEP BLUE SEA BLEND,"pineapple frozen, bananas, coconut frozen, coconut water"
% HUNGER CONTROL SMOOTHIE,"bananas, avocado, spinach, coconut oil, coconut milk can, cinnamon ground"
% PEACH GREEN SMOOTHIE,"peaches frozen, peaches, spinach, ginger root"
